"adal_nr","adalvatnsfall","ar","vatnsfall","landsvaedi","landsvaedi_id","vatnsfall_id","mp","p_endur","stofn","logN","n_0","n_1","fjoldi_0","fjoldi_1","stofn_tmp_0","stofn_tmp_1","last10","M10","hraMedal10","logMedal10","expMedal10","M","hraMedal","logMedal","expMedal","N_ar"
511,"Fjarðará",1998,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,16,2.772588722239781,8,NA,8,NA,16,NA,FALSE,310,30.090909090909093,2.6017963361640954,13.487945170104632,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",1999,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,2,0.6931471805599453,1,NA,1,NA,2,NA,FALSE,310,30.090909090909093,2.6017963361640954,13.487945170104632,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2000,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,4,1.3862943611198906,2,NA,2,NA,4,NA,FALSE,310,30.090909090909093,2.6017963361640954,13.487945170104632,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2001,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,16,2.772588722239781,8,NA,8,NA,16,NA,FALSE,310,30.090909090909093,2.6017963361640954,13.487945170104632,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2002,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,8,2.0794415416798357,4,NA,4,NA,8,NA,FALSE,310,30.090909090909093,2.6017963361640954,13.487945170104632,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2003,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,2,0.6931471805599453,1,NA,1,NA,2,NA,FALSE,310,30.090909090909093,2.6017963361640954,13.487945170104632,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2004,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,2,0.6931471805599453,1,NA,1,NA,2,NA,FALSE,310,30.090909090909093,2.6017963361640954,13.487945170104632,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2005,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,14,2.6390573296152584,7,NA,7,NA,14,NA,FALSE,310,30.090909090909093,2.6017963361640954,13.487945170104632,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2006,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,36,3.58351893845611,18,NA,18,NA,36,NA,FALSE,310,30.090909090909093,2.6017963361640954,13.487945170104632,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2007,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,28,3.332204510175204,14,NA,14,NA,28,NA,FALSE,310,30.090909090909093,2.6017963361640954,13.487945170104632,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2008,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,24,3.1780538303479458,12,NA,12,NA,24,NA,FALSE,310,30.090909090909093,2.6017963361640954,13.487945170104632,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2009,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,6,1.791759469228055,3,NA,3,NA,6,NA,FALSE,310,30.090909090909093,2.6017963361640954,13.487945170104632,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2010,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,18,2.8903717578961645,9,NA,9,NA,18,NA,FALSE,310,30.090909090909093,2.6017963361640954,13.487945170104632,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2011,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,26,3.258096538021482,13,NA,13,NA,26,NA,FALSE,310,30.090909090909093,2.6017963361640954,13.487945170104632,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2012,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,8,2.0794415416798357,4,NA,4,NA,8,NA,FALSE,310,30.090909090909093,2.6017963361640954,13.487945170104632,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2013,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,14,2.6390573296152584,7,NA,7,NA,14,NA,FALSE,310,30.090909090909093,2.6017963361640954,13.487945170104632,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2014,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,14,2.6390573296152584,7,NA,7,NA,14,NA,TRUE,45.5,13.890001854943424,2.387336651080609,10.884466173440254,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2015,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,45.5,3.817712325956905,22,1,22,0.75,44,1.5,TRUE,45.5,13.890001854943424,2.387336651080609,10.884466173440254,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2016,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,11.5,2.4423470353692043,5,1,5,0.75,10,1.5,TRUE,45.5,13.890001854943424,2.387336651080609,10.884466173440254,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2017,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,11.5,2.4423470353692043,5,1,5,0.75,10,1.5,TRUE,45.5,13.890001854943424,2.387336651080609,10.884466173440254,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2018,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,5.5,1.7047480922384253,2,1,2,0.75,4,1.5,TRUE,45.5,13.890001854943424,2.387336651080609,10.884466173440254,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2019,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,8,2.0794415416798357,4,NA,4,NA,8,NA,TRUE,45.5,13.890001854943424,2.387336651080609,10.884466173440254,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2020,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.5,0.25,5.5,1.7047480922384253,2,1,2,0.75,4,1.5,TRUE,45.5,13.890001854943424,2.387336651080609,10.884466173440254,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
511,"Fjarðará",2022,"Fjarðará Seyðisfirði Seyðisfjarðará","Austfirðir",6,"1039 2139",0.6655555555555556,0.25,6.010016694490818,1.793427526328752,4,NA,4,NA,6.010016694490818,NA,TRUE,45.5,13.890001854943424,2.387336651080609,10.884466173440254,310,25.387419893370673,2.5395338469463087,12.673761680914797,31
515,"Fjarðarhornsá",1979,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,76,4.330733340286331,38,NA,38,NA,76,NA,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
515,"Fjarðarhornsá",1980,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,16,2.772588722239781,8,NA,8,NA,16,NA,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
515,"Fjarðarhornsá",1982,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,70,4.248495242049359,35,NA,35,NA,70,NA,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
515,"Fjarðarhornsá",1984,"Fjarðarhornsá Ísafjarðardjúpi Fjarðarhornsá Kollafirði","Vestfirðir",3,"1800 1921",0.5,0.25,22,3.091042453358316,11,NA,11,NA,22,NA,FALSE,444.5,105.11666666666669,3.5917686116351253,36.298216638033146,468.1495956873315,144.13197963429607,4.061223038787362,58.045259287441034,40
