"adal_nr","adalvatnsfall","vatnsfall","landsvaedi","landsvaedi_id","vatnsfall_id","M","hraMedal","logMedal","expMedal","M10","hraMedal10","logMedal10","expMedal10","N_ar","nafn","V","N","fjarlægð","Meðalfjöldi","fjoldi.flokk","ATH"
1384,"Kjarlaksstaðaá","Flekkudalsá Flekkudalsá við Hvammsfjörð Öll áin","Vesturland",2,"496",1018,430.6298596836852,5.981629938887194,396.0854373578225,458.2494728767245,325.63702942409896,5.733106851931775,308.92757117540924,48,"Flekkudalsá",-22.3732740876093,65.1596946801634,-232,400,10,
1462,"Krossá","Krossá Krossá Krossá","Vesturland",2,"500",687,241.27990529167334,5.316932792011452,203.7579545329564,298.87250080052826,186.6995264583667,5.1627528052003004,174.64455693374367,50,"Krossá á Skarðsströnd",-22.3628878519189,65.2708294017863,-225,343,10,
1485,"Kúðafljót","Geirlandsá Geirlandsá Grenlækur Svæði 5 - Seglbúðir Hörgsá á Síðu Hörgsá Tungufljót Allt svæðið Tungulækur Allt svæðið Geirlandsá Grenlækur Hellisá Holtsá Hörgsá Hörgárdal Hörgsá Síðu Jónskvísl og Sýrlækur Kúðafljót og hliðarár Skaftá Tungufljót Tungulækur","Suðurland",7,"494 527 639 801 1079 1100 1741 1907 1908 1909 1945",888,236.4116788270094,5.138762341031942,170.50461111692914,801.0415590325555,450.3583941350469,5.955301189975833,385.79309019260114,50,,-18.17564,63.45938,,,,"Kúðafljót"
1560,"Langadalsá","Hvannadalsá Hvanndalsá Ströndum Langadalsá Langadalsströnd Hvannadalsá Ísafjarðardjúpi Hvannadalsá Langadalsá Allt svæðið","Vestfirðir",3,"403 433 1915",1470,511.29582283120607,5.989316401356054,399.14166394477223,1213.9159928122192,523.5995318729098,6.068276697680108,431.93568406448793,49,"Langadalsá / Hvannadalsá",-22.347893613717,65.8993382754938,137,900,10,
1568,"Langá","Langá Allt svæðið Langá Urriðaá á Mýrum","Vesturland",2,"428 438",6000,3177.9834335068163,7.954007829323795,2846.9622548544844,5651.103319527411,3393.1171675340815,8.070507052156602,3198.7233375145975,50,"Langá",-22.0132260301242,64.5722630590811,-520,3896,15,
1579,"Laugardalsá","Laugardalsá Allt svæðið  Laugardalsá Laugardalsvatn","Vestfirðir",3,"1239 1950",1382,598.0558756670334,6.2665193528318905,526.6411321046207,1036.8256963162623,435.12379076846366,5.971089342811566,391.9323870159579,49,"Laugardalsá í Ísafjarðardjúpi",-22.6445070342208,66.0079913313169,122,684,10,
1585,"Laxá","Laxá á Skógarströnd Laxá á Skógarströnd og Blankur Blankur Laxá á Skógarströnd og Blankur Laxá","Vesturland",2,"381",707.352849389147,290.22615605671325,5.506866969200562,246.37800671175313,707.352849389147,455.9641136168994,6.05613560658431,426.7232201055363,45,"Laxá á Skógarströnd",-22.12327272,65.02679273,-292,220,5,
1589,"Laxá","Eyrarvatn, Þórisst. Geitabergs Laxá í Leirársveit Selós Svínadal Þórisstaðavatn Þverá Svínadal Laxá í Leirársveit Allt svæðið Selós Svínadal Selós Vötnin í Svínadal Hvalfjarðarsveit Vötnin í Svínadal Þverá Svínadal Þverá","Vesturland",2,"321 788 789 1761 1967",3940,1981.886543844185,7.543114870489197,1887.7008206107573,2970.7791641560216,1851.4054104520883,7.464659360970658,1745.2609429614936,48,"Laxá í Leirársveit",-21.85966847,64.38800729,-554,1970,15,
1590,"Laxá","Bugða Laxá í Kjós Meðalfellsvatn Laxá Allt svæðið","Reykjanes",1,"1042 1060 1762",7624,2671.803497977212,7.824105039463036,2500.1475758724155,3530.701408962772,2203.9674898860576,7.630938166033552,2060.9826570528835,50,"Laxá í Kjós",-21.61263,64.3421,,2396,15,
1591,"Laxá","Kráká Laxá í Aðaldal Mýrarkvísl Reykjadalsá og Eyvindarlækur Laxá Jarlsstaðir, Tjörn og Árbót Laxá Laxasvæði Laxá Staðartorfa Mýrarkvísl Allt svæðið Reykjadalsá Allt svæðið","Norðurland eystra",5,"104 803 839 1099",10404,3348.3750637106946,7.917456924363433,2744.7819744613107,2291.5,1306.7253185534696,7.0930925049449405,1203.624265048134,50,"Laxá í Aðaldal",-17.4190358119556,65.9901686913489,790,2415,15,
1592,"Laxá","Laxá á Skaga Laxá Laxá Laxárdal Skefilstaðahreppi","Norðurland vestra",4,"1772",490,175.20865429987523,4.760505758393708,116.8049860647729,246.49734018340376,129.63538751920146,4.497279038843555,89.77253110756118,32,,-19.84952,65.89603,,,,"Laxá"
